id,name,name_cn,作者
181446,JK強制操作 ~スマホで長期間弄ばれた風紀委員長~【完全版】,,"クリムゾン"
655042,ワルキューレ調教 上 復讐のはじまり,,"前薗はるか"
630431,ちいさい友だち,,"ミナヅキアキラ"
618610,オーラバトラー戦記,奥拉战士战记,"富野由悠季"
361284,特別じゃない日,,"稲空穂"
107741,禁断の花嫁　兄妹愛獄,,"ゆきの 飛鷹"
344216,魔物ハンター・妖子 完結篇 アニメVスペシャル,,
68344,悪の教典,恶之教典,貴志祐介
615253,おさわがセレブ　さくらちゃん,,
59476,Starry☆Sky公式ガイド コンプリートエディション ~Autumn Stories~,,
308535,姉をさがすなら姉のなか 年上お姉さん×4との甘々アパート生活はじめます,,"神里大和"
567700,Pride and Prejudice,傲慢与偏见,"Jane Austen"
599213,만화 병자호란,,
608322,ぶんなぐり先生,,"本宮ひろ志"
181445,アイドル強制操作~スマホで命令したことが現実に~【完全版】 (1),,"クリムゾン"
344217,魔物ハンター・妖子 アニメVスペシャル,,
635304,チートなスライム職人に令嬢ライフは難しい!,,
280448,Saga,烽火世家,"Brian K Vaughan、Fiona Staples"
545675,勘当貴族なオレのクズギフトが強すぎる! (1),,
517740,ふたへん!!〜双子漫画家とひよっこ編集〜,双胞编辑！〜双胞胎漫画家与小不点编辑〜,"Tam-U"
659807,サークルゲーム,,"聖千秋"
418100,家はヤリ部屋,,
633053,ある日、無口な婚約者の感情が分かるようになりました,,"瀬尾優梨"
602846,巻き込まれて召喚された限界OL、ギルド所属の【魔物解体嬢】として奮闘中 THE COMIC (1),,
181444,アイドル強制操作~スマホで命令したことが現実に~【完全版】 (2),,"クリムゾン"
418094,放送室はヤリ部屋,,"天仁屋よしわき"
39073,超訳百人一首 うた恋い。,,"杉田圭"
